,count
"('a', 'reservation', '?')",2
"('you', 'want', 'anymore')",1
"('want', 'anymore', 'information?')",1
"('to', 'try', 'to')",5
"('try', 'to', 'find')",2
"('find', 'a', 'time')",2
"('a', 'time', ""that's"")",1
"('time', ""that's"", 'available?')",1
"('help', 'you', 'book')",5
"('you', 'book', 'the')",1
"('book', 'the', 'gonville')",4
"('the', 'gonville', 'hotel?')",5
"('would', 'like', 'information')",2
"('like', 'information', 'on?')",1
"('there', 'any', 'more')",12
"('more', 'information', 'i')",10
"('has', 'better', 'decor?')",2
"('to', 'book', 'arbury')",1
"('book', 'arbury', 'lodge')",1
"('arbury', 'lodge', 'guesthouse?')",3
"('try', 'another', 'location')",4
"('another', 'location', 'for')",4
"('location', 'for', 'your')",2
"('for', 'your', 'stay?')",8
"('know', 'about', 'royal')",2
"('about', 'royal', 'standard?')",1
"('to', 'make', 'you')",20
"('make', 'you', 'a')",21
"('you', 'a', 'reservation?')",20
"('about', 'the', 'golden')",1
"('the', 'golden', 'wok?')",1
"('you', 'with', 'or')",1
"('with', 'or', 'would')",1
"('for', 'you', 'before')",1
"('you', 'before', 'making')",1
"('before', 'making', 'a')",4
"('information', 'on', 'this')",1
"('on', 'this', 'restaurant?')",1
"('to', 'make', 'reservation')",1
"('make', 'reservation', 'at')",1
"('reservation', 'at', 'the')",3
"('at', 'the', 'restaurant?')",3
"('want', 'a', 'reservation')",12
"('a', 'reservation', 'some')",2
"('reservation', 'some', 'place')",2
"('some', 'place', 'else?')",6
"('what', 'accommodations', 'are')",1
"('accommodations', 'are', 'you')",1
"('looking', 'for', 'with')",1
"('for', 'with', 'your')",1
"('with', 'your', 'stay?')",1
"('sounds', 'nice,', 'eh?')",2
"('place', 'that', 'offers')",2
"('that', 'offers', 'more')",2
"('offers', 'more', 'variety?')",1
"('to', 'check', 'another')",2
"('check', 'another', 'japanese')",1
"('another', 'japanese', 'restaurant?')",1
"('more', 'information', 'or')",7
"('information', 'or', 'are')",1
"('or', 'are', 'you')",5
"('are', 'you', 'ready')",2
"('you', 'ready', 'to')",2
"('ready', 'to', 'book')",1
"('book', 'it', 'now?')",3
"('questions', 'about', 'your')",6
"('about', 'your', 'upcoming')",7
"('your', 'upcoming', 'reservation?')",3
"('you', 'like', 'additional')",2
"('like', 'additional', 'information?')",1
"('information', 'about', 'them?')",26
"('questions', 'about', 'gonville?')",1
"('the', 'hotel', 'or')",1
"('hotel', 'or', 'shall')",1
"('like', 'more', 'information?')",28
"('me', 'to', 'go')",4
"('for', 'you', 'today?')",26
"('look', 'into', 'it')",2
"('into', 'it', 'a')",2
"('it', 'a', 'bit')",2
"('a', 'bit', 'further?')",1
"('availability', 'for', 'you?')",16
"('for', 'another', 'option?')",19
"('questions', 'about', 'dojo')",2
"('about', 'dojo', 'noodle')",3
"('look', 'for', 'others?')",1
"('to', 'find', 'out')",17
"('find', 'out', 'more')",15
"('out', 'more', 'about')",11
"('more', 'about', 'their')",10
"('about', 'their', 'portions?')",2
"('you', 'like', 'the')",13
"('like', 'the', 'phone')",7
"('the', 'phone', 'number')",7
"('phone', 'number', 'to')",3
"('number', 'to', 'the')",1
"('to', 'the', 'hotel')",1
"('the', 'hotel', 'so')",5
"('hotel', 'so', 'that')",5
"('so', 'that', 'you')",6
"('that', 'you', 'can')",6
"('you', 'can', 'inquire')",1
"('can', 'inquire', 'directly')",1
"('inquire', 'directly', 'with')",1
"('directly', 'with', 'them?')",1
"('the', 'rooms', 'there')",1
"('rooms', 'there', 'are')",1
"('there', 'are', 'said')",1
"('are', 'said', 'to')",3
"('said', 'to', 'be')",4
"('to', 'be', 'small')",1
"('be', 'small', 'according')",1
"('small', 'according', 'to')",1
"('according', 'to', 'one')",2
"('to', 'one', 'guest')",2
"('one', 'guest', 'reviewer,')",2
"('guest', 'reviewer,', 'would')",1
"('reviewer,', 'would', 'you')",1
"('to', 'look', 'somewhere')",10
"('look', 'somewhere', 'else?')",10
"('that', 'work', 'or')",10
"('work', 'or', 'should')",8
"('i', 'find', 'an')",1
"('find', 'an', 'alternative')",1
"('an', 'alternative', 'location?')",1
"('else', 'or', 'would')",7
"('about', 'either', 'restaurant?')",1
"('for', 'a', 'place')",6
"('a', 'place', ""that's"")",2
"('place', ""that's"", 'got')",1
"(""that's"", 'got', 'a')",2
"('got', 'a', 'great')",1
"('a', 'great', 'view?')",2
"('is', 'that', 'a')",3
"('that', 'a', 'deal-breaker?')",1
"('me', 'to', 'continue')",2
"('to', 'continue', 'to')",2
"('continue', 'to', 'book')",1
"('to', 'book', 'the')",11
"('book', 'the', 'room?')",3
"('know', 'more', 'or')",2
"('more', 'or', 'have')",1
"('me', 'check', 'elsewhere?')",1
"('questions', 'about', 'them?')",2
"('that', 'sound', 'good')",23
"('to', 'explore', 'some')",13
"('explore', 'some', 'other')",13
"('some', 'other', 'options?')",19
"('better', 'ratings', 'for')",2
"('ratings', 'for', 'service?')",1
"('should', 'i', 'make')",10
"('i', 'make', 'a')",9
"('a', 'reservation', 'or')",14
"('reservation', 'or', 'is')",1
"('or', 'is', 'there')",2
"('which', 'one', 'would')",2
"('one', 'would', 'you')",2
"('a', 'reservation', 'at?')",1
"('interested', 'in', 'getting')",1
"('in', 'getting', 'a')",1
"('getting', 'a', 'booking')",1
"('a', 'booking', 'or')",2
"('booking', 'or', 'do')",2
"('should', 'i', 'try')",10
"('i', 'try', 'something')",2
"('try', 'something', 'else?')",6
"('reservation', 'at', ""hobson's"")",1
"('at', ""hobson's"", 'house?')",1
"('yes,', 'they', 'serve')",1
"('they', 'serve', 'alcoholic')",1
"('serve', 'alcoholic', 'beverages')",1
"('alcoholic', 'beverages', 'at')",1
"('beverages', 'at', ""nando's"")",1
"('at', ""nando's"", 'restaurant,')",1
"(""nando's"", 'restaurant,', 'do')",1
"('restaurant,', 'do', 'you')",1
"('there', 'or', 'do')",16
"('to', 'look', 'a')",1
"('look', 'a', 'little')",1
"('a', 'little', 'further')",1
"('little', 'further', 'for')",1
"('further', 'for', 'more')",1
"('for', 'more', 'information')",1
"('information', 'on', ""nando's"")",1
"('on', ""nando's"", 'food')",1
"(""nando's"", 'food', 'portions?')",1
"('shall', 'i', 'search')",8
"('for', 'another', 'option')",11
"('questions', 'about', 'royal')",2
"('about', 'royal', 'spice,')",2
"('royal', 'spice,', 'or')",2
"('spice,', 'or', 'shall')",1
"('check', 'on', 'availability?')",6
"('to', 'give', 'the')",2
"('give', 'the', 'gourmet')",1
"('the', 'gourmet', 'burger')",2
"('gourmet', 'burger', 'kitchen')",1
"('burger', 'kitchen', 'a')",1
"('kitchen', 'a', 'try?')",1
"('me', 'to', 'double')",2
"('to', 'double', 'check')",1
"('double', 'check', 'for')",1
"('check', 'for', 'you?')",1
"('like', 'a', 'room?')",4
"('table', 'for', 'you')",15
"('that', 'a', 'deal-breaker')",1
"('a', 'deal-breaker', 'for')",2
"('deal-breaker', 'for', 'you?')",2
"('room', 'at', 'arbury')",1
"('at', 'arbury', 'lodge')",1
"('i', 'help', 'with')",9
"('help', 'with', 'making')",1
"('with', 'making', 'a')",3
"('answer', 'any', 'more')",6
"('questions', 'or', 'would')",5
"('like', 'to', 'explore')",13
"('a', 'reservation', 'still?')",3
"('know', 'anything', 'more?')",2
"('what', 'days', 'would')",2
"('days', 'would', 'you')",2
"('you', 'be', 'staying?')",1
"('like', 'to', 'find')",15
"('to', 'find', 'some')",3
"('find', 'some', 'other')",2
"('some', 'other', 'options')",3
"('other', 'options', 'to')",1
"('options', 'to', 'explore?')",1
"('find', 'out', 'a')",1
"('out', 'a', 'little')",1
"('a', 'little', 'more')",3
"('little', 'more', 'about')",1
"('you', 'still', 'interested?')",6
"('one', 'person', 'said')",2
"('person', 'said', 'it')",1
"('said', 'it', 'was')",1
"('it', 'was', 'nice')",1
"('was', 'nice', 'and')",1
"('nice', 'and', 'peaceful')",1
"('and', 'peaceful', 'for')",1
"('peaceful', 'for', 'them')",1
"('for', 'them', 'though,')",1
"('them', 'though,', 'do')",1
"('though,', 'do', 'you')",1
"('about', 'the', 'ashley')",1
"('the', 'ashley', 'for')",1
"('ashley', 'for', 'you?')",1
"('should', 'i', 'reserve')",2
"('to', 'make', 'the')",1
"('make', 'the', 'booking?')",1
"('to', 'check', 'one')",1
"('check', 'one', 'of')",1
"('the', 'other', 'options')",2
"('other', 'options', 'for')",3
"('options', 'for', 'you?')",1
"('like', 'a', 'table')",2
"('room', 'at', 'acorn')",3
"('at', 'acorn', 'guest')",3
"('acorn', 'guest', 'house?')",7
"('what', 'nights', 'were')",1
"('nights', 'were', 'you')",1
"('were', 'you', 'planning')",1
"('you', 'planning', 'to')",1
"('planning', 'to', 'stay')",1
"('to', 'stay', 'and')",1
"('stay', 'and', ""what's"")",1
"('and', ""what's"", 'the')",1
"(""what's"", 'the', 'size')",1
"('the', 'size', 'of')",1
"('size', 'of', 'your')",1
"('of', 'your', 'party?')",1
"('to', 'try', 'it?')",5
"('want', 'to', 'go')",4
"('go', 'ahead', 'with')",4
"('ahead', 'with', 'making')",1
"('with', 'better', 'staff')",4
"('better', 'staff', 'ratings?')",1
"('should', 'i', 'keep')",5
"('i', 'keep', 'searching?')",1
"('you', 'want', 'the')",1
"('want', 'the', 'reservation?')",1
"('interested', 'in', 'a')",17
"('in', 'a', 'reservation?')",6
"('a', 'reservation', 'to')",2
"('reservation', 'to', 'dine')",1
"('to', 'dine', 'there?')",2
"('you', 'need', 'anymore')",2
"('need', 'anymore', 'information?')",2
"('sounds', 'nice,', 'right?')",3
"('be', 'a', 'problem?')",7
"('sound', 'like', 'it')",2
"('like', 'it', 'would')",1
"('it', 'would', 'work')",1
"('would', 'work', 'for')",1
"('did', 'you', 'want')",6
"('you', 'want', 'information')",1
"('want', 'information', 'on')",1
"('information', 'on', 'anything')",6
"('on', 'anything', 'else')",1
"('reservation', 'for', 'a')",4
"('for', 'a', 'table?')",1
"('know', 'about', 'this')",1
"('about', 'this', 'location?')",7
"('other', 'questions', 'or')",11
"('i', 'book', 'it?')",24
"('is', 'that', 'something')",1
"('that', 'something', 'that')",1
"('something', 'that', 'sounds')",1
"('booking', 'a', 'room')",3
"('you', 'like', 'some')",34
"('like', 'some', 'more')",31
"('some', 'more', 'information')",27
"('information', 'on', 'la')",1
"('on', 'la', 'tasca?')",1
"('may', 'i', 'help')",8
"('you,', 'or', 'would')",3
"('like', 'some', 'other')",2
"('some', 'other', 'suggestions?')",1
"('another', 'place', 'entirely?')",1
"('table', 'at', 'the')",3
"('at', 'the', 'chiquito')",1
"('the', 'chiquito', 'restaurant')",1
"('chiquito', 'restaurant', 'bar?')",1
"('see', 'if', ""there's"")",2
"('if', ""there's"", 'a')",2
"(""there's"", 'a', 'larger')",1
"('a', 'larger', 'room')",7
"('larger', 'room', 'available?')",5
"('more', 'about', 'wagamama?')",2
"('need', 'any', 'other')",20
"('i', 'book', 'it')",24
"('about', 'the', 'cambridge')",2
"('the', 'cambridge', 'belfry?')",1
"('questions', 'about', 'kymmoy')",1
"('about', 'kymmoy', 'that')",1
"('kymmoy', 'that', 'i')",1
"('see', 'if', 'i')",1
"('if', 'i', 'can')",1
"('can', 'find', 'a')",1
"('a', 'time', 'that')",1
"('time', 'that', 'works?')",1
"('for', 'other', 'restaurants')",1
"('other', 'restaurants', 'in')",1
"('restaurants', 'in', 'the')",1
"('i', 'can', 'tell')",12
"('can', 'tell', 'you')",13
"('tell', 'you', 'about')",17
"('you', 'about', 'yu')",1
"('about', 'yu', 'garden')",1
"('yu', 'garden', 'or')",1
"('garden', 'or', 'any')",1
"('or', 'any', 'other')",2
"('any', 'other', 'facility?')",1
"('about', 'the', 'nirala?')",2
"('know', 'any', 'more')",1
"('about', 'the', 'acorn')",7
"('the', 'acorn', 'guest')",6
"('to', 'try', 'them?')",5
"('the', 'grafton', 'hotel')",1
"('grafton', 'hotel', 'has')",1
"('hotel', 'has', 'nice')",1
"('has', 'nice', 'interior')",1
"('nice', 'interior', 'decor,')",1
"('interior', 'decor,', 'people')",1
"('decor,', 'people', 'seem')",1
"('people', 'seem', 'to')",1
"('seem', 'to', 'like')",1
"('to', 'like', 'it')",1
"('like', 'it', 'do')",1
"('it', 'do', 'you')",1
"('you', 'still', 'be')",7
"('still', 'be', 'interested')",7
"('reservation', 'at', 'meze')",1
"('at', 'meze', 'bar?')",1
"('about', 'the', 'alexander')",3
"('the', 'alexander', 'b&b?')",2
"('can', 'i', 'anwwer')",1
"('i', 'anwwer', 'any')",1
"('anwwer', 'any', 'other')",1
"('questions', 'for', 'you?')",21
"('a', 'room', 'somewhere')",2
"('room', 'somewhere', 'else?')",2
"('you', 'still', 'interested,')",7
"('still', 'interested,', 'or')",7
"('interested,', 'or', 'should')",5
"('search', 'for', 'something')",9
"('for', 'something', 'quieter?')",2
"('a', 'different', 'hotel?')",3
"('i', 'am', 'not')",1
"('am', 'not', 'sure,')",1
"('not', 'sure,', 'but')",1
"('sure,', 'but', 'the')",1
"('but', 'the', 'hotel')",1
"('the', 'hotel', 'du')",1
"('hotel', 'du', 'vin')",1
"('du', 'vin', 'and')",1
"('vin', 'and', 'bistro')",1
"('and', 'bistro', 'serves')",1
"('bistro', 'serves', 'a')",1
"('serves', 'a', 'full')",1
"('a', 'full', 'bar')",1
"('full', 'bar', 'of')",1
"('bar', 'of', 'alcohol,')",1
"('of', 'alcohol,', 'do')",1
"('alcohol,', 'do', 'you')",1
"('you', 'about', 'autumn')",1
"('about', 'autumn', 'house?')",1
"('more', 'about', 'pizza')",4
"('about', 'pizza', 'hut')",3
"('pizza', 'hut', 'cherry')",1
"('hut', 'cherry', 'hinton?')",1
"('is', 'that', 'ok')",1
"('that', 'ok', 'with')",1
"('ok', 'with', 'you?')",1
"('you', 'like', 'information')",5
"('like', 'information', 'about')",1
"('information', 'about', 'anything')",1
"('about', 'anything', 'else?')",1
"('the', 'alpha', 'milton')",1
"('alpha', 'milton', 'guest')",1
"('milton', 'guest', 'house')",1
"('guest', 'house', 'has')",3
"('house', 'has', 'a')",3
"('has', 'a', 'better')",1
"('a', 'better', 'ratio,')",1
"('better', 'ratio,', 'though,')",1
"('ratio,', 'though,', 'so')",1
"('though,', 'so', 'maybe')",1
"('so', 'maybe', 'try')",1
"('maybe', 'try', 'that')",1
"('try', 'that', 'place?')",1
"('still', 'interested', 'or')",5
"('interested', 'or', 'should')",7
"('i', 'find', 'something')",2
"('find', 'something', 'else?')",3
"('room', 'at', 'kirkwood')",1
"('at', 'kirkwood', 'house?')",1
"('i', 'can', 'do')",20
"('can', 'do', 'for')",19
"('for', 'another', 'place')",11
"('with', 'better', 'prices?')",3
"('find', 'another', 'location?')",1
"('can', 'i', 'find')",9
"('i', 'find', 'out')",4
"('find', 'out', 'any')",4
"('out', 'any', 'more')",2
"('more', 'information', 'for')",7
"('information', 'for', 'you?')",9
"('about', 'the', 'archway?')",2
"('can', 'i', 'provide')",3
"('i', 'provide', 'any')",2
"('provide', 'any', 'more')",1
"('information', 'for', 'you')",1
"('you', 'about', 'this')",3
"('like', 'help', 'with')",11
"('help', 'with', 'booking?')",4
"('i', 'find', 'any')",5
"('find', 'any', 'more')",5
"('me', 'to', 'help')",14
"('to', 'help', 'you')",17
"('you', 'with', 'everything')",1
"('with', 'everything', 'else?')",1
"('like', 'to', 'proceed')",4
"('to', 'proceed', 'with')",4
"('proceed', 'with', 'a')",3
"('with', 'a', 'reservation')",1
"('reservation', 'at', 'this')",3
"('should', 'we', 'book')",1
"('we', 'book', 'a')",2
"('you', 'at', 'the')",2
"('at', 'the', 'carolina')",1
"('the', 'carolina', 'bed')",1
"('carolina', 'bed', 'and')",2
"('bed', 'and', 'breakfast?')",3
"('look', 'into', 'some')",7
"('into', 'some', 'other')",7
"('for', 'other', 'hotel')",1
"('other', 'hotel', 'options?')",1
"('a', 'better', 'location?')",5
"('work', 'or', 'would')",3
"('try', 'another', 'restaurant?')",2
"('can', 'i', 'tell')",9
"('i', 'tell', 'you')",10
"('tell', 'you', 'anything')",5
"('you', 'anything', 'else')",5
"('else', 'about', 'it')",1
"('about', 'it', 'or')",1
"('it', 'or', 'can')",1
"('can', 'i', 'go')",1
"('i', 'go', 'ahead')",10
"('and', 'book', 'it')",2
"('about', 'the', 'guesthouse?')",1
"('out', 'more', 'information')",2
"('information', 'about', 'this?')",1
"('reservation', 'there', 'today?')",4
"('other', 'questions', 'to')",4
"('questions', 'to', 'help')",3
"('help', 'you', 'choose?')",1
"('to', 'give', 'them')",11
"('give', 'them', 'a')",11
"('them', 'a', 'try?')",9
"('that', 'sound', 'or')",1
"('sound', 'or', 'would')",1
"('out', 'other', 'restaurants?')",1
"('else', 'for', 'you?')",17
"('should', 'i', 'go')",7
"('ahead', 'and', 'make')",4
"('and', 'make', 'a')",6
"('any', 'further', 'questions')",4
"('further', 'questions', 'about')",4
"(""there's"", 'a', 'large')",1
"('a', 'large', 'room')",5
"('large', 'room', 'available?')",5
"('more', 'questions', 'about')",8
"('questions', 'about', 'wagamama?')",2
"('about', 'royal', 'spice?')",2
"('questions', 'for', 'you,')",3
"('what', 'else', 'would')",12
"('else', 'would', 'you')",12
"('at', 'other', 'places?')",4
"('like', 'to', 'do')",2
"('to', 'do', 'that?')",3
"('a', 'booking', 'there?')",2
"('about', 'the', 'guesthouse')",2
"('the', 'guesthouse', 'for')",2
"('guesthouse', 'for', 'you?')",3
"('is', 'their', 'anything')",1
"('their', 'anything', 'else')",1
"('can', 'help', 'with')",2
"('help', 'with', 'today?')",4
"('look', 'into', 'another')",6
"('into', 'another', 'place')",1
"('with', 'more', 'affordable')",5
"('more', 'affordable', 'prices?')",4
"('that', 'still', 'work,')",5
"('still', 'work,', 'or')",5
"('work,', 'or', 'would')",1
"('like', 'a', 'new')",1
"('a', 'new', 'reservation?')",1
"('good', 'to', 'you')",2
"('to', 'you', 'or')",2
"('find', 'another', 'restaurant?')",3
"('place', 'with', 'higher')",7
"('with', 'higher', 'ratings?')",6
"('find', 'a', 'comparable')",8
"('a', 'comparable', 'restaurant')",1
"('comparable', 'restaurant', 'with')",1
"('table', 'at', 'da')",1
"('at', 'da', 'vinci')",1
"('da', 'vinci', 'pizzeria?')",3
"('find', 'a', 'more')",11
"('a', 'more', 'affordable')",6
"('more', 'affordable', 'restaurant?')",2
"('questions', 'about', 'alpha-milton')",1
"('about', 'alpha-milton', 'guest')",1
"('alpha-milton', 'guest', 'house?')",2
"('like', 'to', 'to')",2
"('to', 'to', 'find')",2
"('about', 'their', 'entree')",1
"('their', 'entree', 'sizes?')",1
"('room', 'there', 'or')",4
"('there', 'or', 'look')",3
"('or', 'look', 'at')",2
"('you', 'or', 'book')",3
"('or', 'book', 'you')",2
"('at', 'another', 'location')",3
"('another', 'location', 'and')",1
"('location', 'and', 'cancel')",1
"('and', 'cancel', 'your')",1
"('cancel', 'your', 'reservation?')",2
"('other', 'information', 'you')",6
"('information', 'you', 'need')",1
"('look', 'for', 'an')",4
"('for', 'an', 'different')",1
"('an', 'different', 'hotel')",1
"('different', 'hotel', 'for')",1
"('to', 'be', 'an')",2
"('be', 'an', 'issue?')",1
"('know', 'more', 'bout')",2
"('more', 'bout', ""darry's?"")",1
"('help', 'with', 'a')",1
"('is', 'your', 'budge?')",1
"('help', 'with', 'any')",1
"('reservation', 'at', 'allenbell?')",1
"('you', 'like', 'for')",8
"('like', 'for', 'me')",8
"('for', 'me', 'to')",10
"('like', 'to', 'book?')",6
"('book', 'a', 'stay?')",1
"('is', 'there', 'anyting')",2
"('there', 'anyting', 'else')",2
"('anyting', 'else', 'i')",2
"('do', 'for', 'you')",6
"('however,', 'according', 'to')",1
"('according', 'to', 'the')",2
"('to', 'the', 'reviews')",2
"('the', 'reviews', 'i')",3
"('reviews', 'i', 'have')",1
"('i', 'have', 'on')",2
"('have', 'on', 'hand')",2
"('on', 'hand', 'for')",2
"('hand', 'for', 'that')",1
"('for', 'that', 'location,')",1
"('that', 'location,', 'the')",1
"('location,', 'the', 'rooms')",1
"('the', 'rooms', 'are')",4
"('rooms', 'are', 'kept')",1
"('are', 'kept', 'pretty')",1
"('kept', 'pretty', 'clean..')",1
"('pretty', 'clean..', 'sounds')",1
"('clean..', 'sounds', 'good,')",1
"('any', 'other', 'questions,')",6
"('other', 'questions,', 'or')",6
"('questions,', 'or', 'would')",4
"('them', 'or', 'find')",1
"('or', 'find', 'another')",1
"('with', 'better', 'decor?')",3
"('information', 'on', 'them?')",5
"('like', 'the', 'address?')",1
"('you', 'at', 'royal')",2
"('at', 'royal', 'standard?')",2
"('information', 'on', 'eraina?')",1
"('about', 'the', 'place')",3
"('the', 'place', 'or')",3
"('place', 'or', 'check')",1
"('may', 'i', 'please')",1
"('i', 'please', 'get')",1
"('please', 'get', 'the')",1
"('get', 'the', 'day')",1
"('the', 'day', 'and')",1
"('day', 'and', 'time')",1
"('and', 'time', 'you')",1
"('time', 'you', 'wish')",1
"('you', 'wish', 'to')",1
"('wish', 'to', 'reserve?')",1
"('about', 'the', 'menu')",1
"('the', 'menu', 'at')",2
"('menu', 'at', 'meghna?')",1
"('at', 'this', 'location?')",2
"('at', 'another', 'option')",1
"('another', 'option', 'instead?')",1
"('reservation', 'there', 'today')",2
"('there', 'today', 'or')",2
"('today', 'or', 'look')",1
"('information', 'on', 'any')",3
"('on', 'any', 'of')",2
"('any', 'of', 'the')",5
"('of', 'the', 'restaurants?')",2
"('more', 'about', 'yu')",1
"('about', 'yu', 'garden?')",1
"('shall', 'i', 'try')",1
"('i', 'try', 'one')",1
"('options', 'for', 'you')",1
"('for', 'you', 'instead?')",2
"('is', 'that', 'okay?')",5
"('to', 'me', 'to')",2
"('a', 'comparable', 'place')",7
"('comparable', 'place', 'that')",7
"('find', 'a', 'third')",1
"('a', 'third', 'option')",1
"('third', 'option', 'for')",1
"('if', 'they', 'can')",1
"('they', 'can', 'provide')",1
"('can', 'provide', 'a')",1
"('provide', 'a', 'mattress')",1
"('a', 'mattress', 'for')",1
"('mattress', 'for', 'your')",1
"('for', 'your', 'needs?')",2
"('can', 'we', 'book?')",1
"('to', 'book', 'that')",7
"('i', 'book', 'this')",3
"('interested', 'in', 'reserving')",1
"('in', 'reserving', 'a')",1
"('reserving', 'a', 'table?')",1
"('look', 'at', 'a')",1
"('at', 'a', 'different')",1
"('a', 'different', 'dining')",1
"('different', 'dining', 'option?')",1
"('at', 'the', 'oak')",1
"('the', 'oak', 'bistro?')",2
"('find', 'a', 'restaurant')",9
"('a', 'restaurant', 'that')",3
"('restaurant', 'that', 'states')",1
"('that', 'states', 'they')",1
"('states', 'they', 'have')",1
"('they', 'have', 'a')",8
"('have', 'a', 'good')",1
"('a', 'good', 'view')",1
"('good', 'view', 'of')",1
"('view', 'of', 'the')",1
"('of', 'the', 'city,')",1
"('the', 'city,', 'specifically?')",1
"('want', 'to', 'get')",2
"('to', 'get', 'a')",4
"('get', 'a', 'reservation?')",1
"('try', 'another', 'place?')",5
"('guests', 'find', 'the')",1
"('find', 'the', 'beds')",1
"('the', 'beds', 'to')",1
"('beds', 'to', 'be')",1
"('to', 'be', 'extremely')",1
"('be', 'extremely', 'comfortable')",1
"('extremely', 'comfortable', 'at')",1
"('comfortable', 'at', 'a')",1
"('at', 'a', 'and')",2
"('a', 'and', 'b.')",2
"('and', 'b.', 'would')",2
"('b.', 'would', 'you')",2
"('other', 'questions', 'at')",2
"('questions', 'at', 'this')",2
"('to', 'find', 'an')",3
"('find', 'an', 'asian')",1
"('an', 'asian', 'restaurant')",1
"('asian', 'restaurant', 'that')",1
"('restaurant', 'that', 'does?')",1
"('reservation', 'or', 'would')",1
"('to', 'go', 'some')",1
"('go', 'some', 'place')",1
"('your', 'upcoming', 'stay')",2
"('upcoming', 'stay', 'at')",2
"('stay', 'at', 'the')",1
"('at', 'the', 'hotel?')",1
"('have', 'any', 'additional')",7
"('additional', 'questions', 'about')",7
"('about', 'the', 'gonville?')",4
"('for', 'another', 'spot')",1
"('another', 'spot', 'for')",1
"('spot', 'for', 'you?')",2
"('about', 'the', 'drink')",1
"('the', 'drink', 'options')",1
"('drink', 'options', 'offered')",1
"('options', 'offered', 'there?')",1
"('help', 'you', 'make')",6
"('you', 'make', 'a')",6
"('a', 'room', 'today?')",1
"('should', 'i', 'cancel')",2
"('i', 'cancel', 'the')",2
"('cancel', 'the', 'reservation?')",1
"('the', 'guest', 'house,')",1
"('guest', 'house,', 'or')",1
"('house,', 'or', 'check')",1
"('or', 'check', 'availability')",1
"('room', 'for', 'you,')",2
"('you,', 'or', 'do')",1
"('or', 'do', 'have')",1
"('do', 'have', 'additional')",1
"('book', 'you', 'any')",1
"('you', 'any', 'rooms?')",1
"('else', 'or', 'is')",2
"('or', 'is', 'that')",4
"('is', 'that', 'all?')",1
"('would', 'like', 'more')",2
"('some', 'more', 'information?')",6
"('about', 'the', 'oak')",1
"('which', 'night', 'would')",1
"('night', 'would', 'you')",2
"('like', 'the', 'reservation')",2
"('the', 'reservation', 'to')",2
"('reservation', 'to', 'start?')",1
"('phone', 'number', 'for')",4
"('number', 'for', 'the')",4
"('for', 'the', 'hotel')",4
"('you', 'can', 'contact')",2
"('can', 'contact', 'them')",2
"('contact', 'them', 'directly?')",2
"('book', 'for', 'another')",1
"('for', 'another', 'day')",1
"('another', 'day', 'or')",1
"('day', 'or', 'time?')",2
"('questions', 'about', 'gonville')",1
"('about', 'gonville', 'hotel?')",2
"('other', 'questions', 'regarding')",2
"('questions', 'regarding', 'menu')",1
"('regarding', 'menu', 'options?')",1
"('about', 'the', 'huntingdon')",2
"('the', 'huntingdon', 'marriott?')",1
"('information', 'about', 'restaurant')",1
"('about', 'restaurant', 'two')",2
"('restaurant', 'two', 'two?')",2
"('availability', 'of', 'a')",5
"('of', 'a', 'large')",5
"('a', 'large', 'room?')",5
"('you', 'have', 'another')",3
"('have', 'another', 'question?')",2
"('i', 'reserve', 'the')",1
"('reserve', 'the', 'outdoor')",1
"('outdoor', 'dining', 'area')",1
"('dining', 'area', 'so')",1
"('area', 'so', 'that')",1
"('you', 'can', 'have')",2
"('can', 'have', 'a')",2
"('have', 'a', 'perfect')",1
"('a', 'perfect', 'view')",1
"('perfect', 'view', 'while')",1
"('view', 'while', 'eating?')",1
"('else', 'i', 'could')",1
"('i', 'could', 'help')",1
"('could', 'help', 'you')",1
"('is', 'that', 'enough?')",1
"('i', 'book', 'the')",5
"('book', 'the', 'room')",4
"('the', 'room', 'at')",1
"('room', 'at', 'gonville')",1
"('at', 'gonville', 'hotel?')",1
"('availability', 'for', 'you')",1
"('you', 'or', 'can')",2
"('like', 'me', 'find')",1
"('place', 'that', 'serves')",3
"('that', 'serves', 'it?')",1
"('would', 'you', 'care')",3
"('you', 'care', 'to')",3
"('care', 'to', 'make')",1
"('at', 'another', 'option?')",2
"('book', 'this', 'hotel?')",2
"('explore', 'other', 'options?')",7
"('questions', 'about', 'frankie')",1
"('about', 'frankie', 'and')",1
"('frankie', 'and', 'bennys?')",1
"('need', 'additional', 'options')",1
"('additional', 'options', 'or')",1
"('options', 'or', 'would')",2
"('about', 'the', 'lucky')",3
"('the', 'lucky', 'star?')",3
"('for', 'me', 'or')",1
"('me', 'or', 'are')",2
"('ready', 'to', 'make')",1
"('the', 'same', 'area?')",3
"('questions', 'that', 'you')",3
"('that', 'you', 'have')",4
"('you', 'have', 'about')",4
"('have', 'about', 'the')",3
"('more', 'about', 'any')",10
"('about', 'any', 'of')",10
"('any', 'of', 'them?')",5
"('have', 'a', 'large')",2
"('more', 'about', 'panahar?')",1
"('ratings', 'on', 'portions?')",1
"('more', 'information', 'before')",1
"('information', 'before', 'making')",1
"('making', 'a', 'booking?')",1
"('check', 'out', 'another')",4
"('out', 'another', 'restaurant?')",1
"('for', 'a', 'different')",9
"('a', 'different', 'option')",2
